month,T_max,T_min,Humidity_1,Humidity_2,WindSpeed,Sunshine Hours
3.0,35.0,21.0,87.0,45.0,6.22,8.0
3.0,36.0,23.0,84.0,45.0,5.76,9.3
3.0,37.0,24.0,86.0,45.0,6.05,10.0
3.0,36.0,22.0,90.0,45.0,5.9,9.0
3.0,35.0,22.0,90.0,48.0,5.26,9.0
3.0,37.0,24.0,90.0,48.0,6.22,9.0
3.0,37.0,24.0,90.0,47.0,8.38,9.0
3.0,38.0,25.0,88.0,48.0,5.92,9.3
3.0,39.0,25.0,86.0,45.0,6.46,9.0
3.0,38.0,24.0,90.0,42.0,5.9,8.3
3.0,37.0,21.0,87.0,40.0,5.0,8.3
3.0,37.0,21.0,88.0,40.0,7.88,9.0
3.0,37.0,22.0,90.0,40.0,6.53,9.0
3.0,38.0,20.0,89.0,40.0,5.85,8.0
4.0,38.0,24.0,80.0,42.0,6.18,9.0
4.0,39.0,25.0,83.0,45.0,5.63,9.0
4.0,40.0,27.0,91.0,47.0,5.4,9.3
4.0,38.0,22.0,84.0,42.0,7.62,9.0
4.0,39.0,21.0,87.0,44.0,6.48,9.0
4.0,37.0,25.0,88.0,41.0,6.05,8.0
4.0,40.0,24.0,84.0,45.0,5.9,9.3
4.0,40.0,24.0,92.0,48.0,6.55,9.0
4.0,39.0,25.0,92.0,47.0,5.91,8.0
4.0,42.0,26.0,92.0,40.0,8.12,8.3
4.0,40.0,25.0,91.0,47.0,4.75,9.0
4.0,37.0,25.0,88.0,52.0,6.43,8.0
4.0,37.0,24.0,88.0,50.0,5.95,8.3
4.0,37.0,24.0,84.0,43.0,7.62,8.0
4.0,42.0,24.0,87.0,40.0,6.88,10.0
4.0,37.0,22.0,90.0,47.0,5.84,9.0
4.0,37.0,23.0,90.0,45.0,5.22,9.0
4.0,39.0,24.0,84.0,40.0,7.25,9.0
4.0,40.0,25.0,83.0,38.0,6.86,9.0
4.0,40.0,27.0,80.0,44.0,8.53,10.0
4.0,40.0,27.0,77.0,38.0,7.21,9.3
4.0,39.0,25.0,84.0,39.0,5.64,10.0
4.0,38.0,22.0,91.0,54.0,6.0,9.0
4.0,39.0,23.0,92.0,51.0,6.97,9.0
4.0,40.0,23.0,81.0,42.0,6.73,9.0
4.0,38.0,27.0,84.0,40.0,5.09,9.0
4.0,39.0,21.0,88.0,37.0,6.24,8.3
4.0,40.0,21.0,81.0,39.0,4.97,9.3
4.0,40.0,22.0,88.0,40.0,4.83,9.0
4.0,38.0,23.0,88.0,43.0,5.22,8.0
5.0,41.0,26.0,84.0,45.0,5.83,8.3
5.0,42.0,25.0,83.0,39.0,6.01,10.0
5.0,42.0,22.0,88.0,37.0,6.88,9.0
5.0,41.0,23.0,84.0,39.0,5.83,8.0
5.0,41.0,25.0,92.0,46.0,5.44,9.3
5.0,38.0,27.0,92.0,48.0,7.69,8.3
5.0,38.0,25.0,85.0,38.0,5.89,8.4
5.0,38.0,25.0,88.0,40.0,6.3,6.0
